bowler,wickets
SL Malinga,154
A Mishra,134
Harbhajan Singh,127
PP Chawla,126
DJ Bravo,122
B Kumar,111
A Nehra,106
R Vinay Kumar,103
Z Khan,102
R Ashwin,100
SP Narine,95
DW Steyn,92
UT Yadav,91
RP Singh,90
P Kumar,90
PP Ojha,89
SR Watson,86
JA Morkel,85
MM Sharma,83
RA Jadeja,82
