team,opponent,matches_played,total_runs_scored,run_rate
Pune Warriors,Chennai Super Kings,6,851,6.94
Pune Warriors,Mumbai Indians,6,759,6.26
Pune Warriors,Kolkata Knight Riders,5,639,6.23
Pune Warriors,Sunrisers Hyderabad,2,212,5.55
Rajasthan Royals,Kings XI Punjab,15,2506,8.26
Rajasthan Royals,Deccan Chargers,9,1387,7.93
Rajasthan Royals,Pune Warriors,5,767,7.88
Rajasthan Royals,Delhi Daredevils,16,2521,7.84
Rajasthan Royals,Mumbai Indians,16,2482,7.76
Rajasthan Royals,Chennai Super Kings,17,2615,7.72
Rajasthan Royals,Kolkata Knight Riders,15,2229,7.37
Rajasthan Royals,Royal Challengers Bangalore,15,1997,6.97
Rajasthan Royals,Sunrisers Hyderabad,7,956,6.87
Rajasthan Royals,Kochi Tuskers Kerala,2,208,6.27
Rising Pune Supergiant,Kolkata Knight Riders,2,340,8.4
Rising Pune Supergiant,Gujarat Lions,2,338,8.21
Rising Pune Supergiant,Sunrisers Hyderabad,2,327,8.01
Rising Pune Supergiant,Mumbai Indians,4,637,7.77
Rising Pune Supergiant,Royal Challengers Bangalore,2,318,7.66
Rising Pune Supergiant,Kings XI Punjab,2,241,7.3
Rising Pune Supergiant,Delhi Daredevils,2,269,7.14
Rising Pune Supergiants,Gujarat Lions,2,358,8.77
Rising Pune Supergiants,Royal Challengers Bangalore,2,363,8.64
Rising Pune Supergiants,Mumbai Indians,2,285,7.81
Rising Pune Supergiants,Kings XI Punjab,2,325,7.8
Rising Pune Supergiants,Delhi Daredevils,2,242,7.56
Rising Pune Supergiants,Sunrisers Hyderabad,2,227,7.02
Rising Pune Supergiants,Kolkata Knight Riders,2,263,6.92
Royal Challengers Bangalore,Pune Warriors,5,990,9.57
Royal Challengers Bangalore,Rising Pune Supergiants,2,380,9.27
Royal Challengers Bangalore,Gujarat Lions,5,934,9.26
Royal Challengers Bangalore,Sunrisers Hyderabad,10,1637,8.65
Royal Challengers Bangalore,Kochi Tuskers Kerala,2,290,8.57
Royal Challengers Bangalore,Kings XI Punjab,20,3237,8.26
Royal Challengers Bangalore,Delhi Daredevils,19,2881,8.11
Royal Challengers Bangalore,Kolkata Knight Riders,20,2826,7.71
Royal Challengers Bangalore,Mumbai Indians,21,3282,7.65
Royal Challengers Bangalore,Deccan Chargers,11,1652,7.58
Royal Challengers Bangalore,Rajasthan Royals,16,2274,7.52
Royal Challengers Bangalore,Chennai Super Kings,19,2793,7.51
Royal Challengers Bangalore,Rising Pune Supergiant,2,230,5.61
Sunrisers Hyderabad,Royal Challengers Bangalore,10,1705,8.68
Sunrisers Hyderabad,Gujarat Lions,5,727,8.17
Sunrisers Hyderabad,Chennai Super Kings,6,995,8.08
Sunrisers Hyderabad,Kings XI Punjab,10,1630,8.08
Sunrisers Hyderabad,Delhi Daredevils,10,1430,7.86
Sunrisers Hyderabad,Rising Pune Supergiant,2,312,7.61
Sunrisers Hyderabad,Mumbai Indians,10,1507,7.52
Sunrisers Hyderabad,Kolkata Knight Riders,12,1819,7.37
Sunrisers Hyderabad,Rajasthan Royals,7,1007,6.91
Sunrisers Hyderabad,Rising Pune Supergiants,2,255,6.22
Sunrisers Hyderabad,Pune Warriors,2,245,5.95
